,plddt,ptm,pdb_path,model,cluster,cluster_size
0,0.826017171,0.027126566,mesoricin2_b4283/pdb/model_1_ptm_cluster0_r0_seed0.pdb,model_1_ptm,0,41
1,0.86874944,0.028807655,mesoricin2_b4283/pdb/model_2_ptm_cluster0_r0_seed0.pdb,model_2_ptm,0,41
2,0.896098509,0.029952299,mesoricin2_b4283/pdb/model_3_ptm_cluster0_r0_seed0.pdb,model_3_ptm,0,41
3,0.86903514,0.02894886,mesoricin2_b4283/pdb/model_4_ptm_cluster0_r0_seed0.pdb,model_4_ptm,0,41
4,0.791054592,0.027133323,mesoricin2_b4283/pdb/model_5_ptm_cluster0_r0_seed0.pdb,model_5_ptm,0,41
5,0.88392216,0.032364141,mesoricin2_b4283/pdb/model_1_ptm_cluster1_r0_seed0.pdb,model_1_ptm,1,5
6,0.893624417,0.032189887,mesoricin2_b4283/pdb/model_2_ptm_cluster1_r0_seed0.pdb,model_2_ptm,1,5
7,0.89594119,0.031324785,mesoricin2_b4283/pdb/model_3_ptm_cluster1_r0_seed0.pdb,model_3_ptm,1,5
8,0.905971266,0.031428598,mesoricin2_b4283/pdb/model_4_ptm_cluster1_r0_seed0.pdb,model_4_ptm,1,5
9,0.891943678,0.03300821,mesoricin2_b4283/pdb/model_5_ptm_cluster1_r0_seed0.pdb,model_5_ptm,1,5
10,0.861198038,0.030672641,mesoricin2_b4283/pdb/model_1_ptm_cluster2_r0_seed0.pdb,model_1_ptm,2,3
11,0.892232157,0.031880934,mesoricin2_b4283/pdb/model_2_ptm_cluster2_r0_seed0.pdb,model_2_ptm,2,3
12,0.899914451,0.031333372,mesoricin2_b4283/pdb/model_3_ptm_cluster2_r0_seed0.pdb,model_3_ptm,2,3
13,0.904611044,0.031263251,mesoricin2_b4283/pdb/model_4_ptm_cluster2_r0_seed0.pdb,model_4_ptm,2,3
14,0.862171352,0.03100577,mesoricin2_b4283/pdb/model_5_ptm_cluster2_r0_seed0.pdb,model_5_ptm,2,3
15,0.889240175,0.031539798,mesoricin2_b4283/pdb/model_1_ptm_cluster3_r1_seed0.pdb,model_1_ptm,3,3
16,0.889240175,0.031539798,mesoricin2_b4283/pdb/model_1_ptm_cluster3_r1_seed0.pdb,model_1_ptm,3,3
17,0.906151667,0.033235542,mesoricin2_b4283/pdb/model_2_ptm_cluster3_r1_seed0.pdb,model_2_ptm,3,3
18,0.906151667,0.033235542,mesoricin2_b4283/pdb/model_2_ptm_cluster3_r1_seed0.pdb,model_2_ptm,3,3
19,0.890956715,0.030671233,mesoricin2_b4283/pdb/model_3_ptm_cluster3_r0_seed0.pdb,model_3_ptm,3,3
20,0.896345153,0.03053602,mesoricin2_b4283/pdb/model_4_ptm_cluster3_r0_seed0.pdb,model_4_ptm,3,3
21,0.872172564,0.031379707,mesoricin2_b4283/pdb/model_5_ptm_cluster3_r0_seed0.pdb,model_5_ptm,3,3
22,0.918492392,0.033941496,mesoricin2_b4283/pdb/model_1_ptm_cluster4_r0_seed0.pdb,model_1_ptm,4,67
23,0.916891314,0.034572456,mesoricin2_b4283/pdb/model_2_ptm_cluster4_r0_seed0.pdb,model_2_ptm,4,67
24,0.91906406,0.033377446,mesoricin2_b4283/pdb/model_3_ptm_cluster4_r0_seed0.pdb,model_3_ptm,4,67
25,0.926395953,0.033579394,mesoricin2_b4283/pdb/model_4_ptm_cluster4_r0_seed0.pdb,model_4_ptm,4,67
26,0.920030028,0.033800375,mesoricin2_b4283/pdb/model_5_ptm_cluster4_r0_seed0.pdb,model_5_ptm,4,67
27,0.895753078,0.031527773,mesoricin2_b4283/pdb/model_1_ptm_cluster5_r0_seed0.pdb,model_1_ptm,5,33
28,0.912887812,0.032039139,mesoricin2_b4283/pdb/model_2_ptm_cluster5_r0_seed0.pdb,model_2_ptm,5,33
29,0.919667169,0.032215688,mesoricin2_b4283/pdb/model_3_ptm_cluster5_r0_seed0.pdb,model_3_ptm,5,33
30,0.91541601,0.032104075,mesoricin2_b4283/pdb/model_4_ptm_cluster5_r0_seed0.pdb,model_4_ptm,5,33
31,0.911883481,0.03309704,mesoricin2_b4283/pdb/model_5_ptm_cluster5_r0_seed0.pdb,model_5_ptm,5,33
32,0.87569996,0.031084666,mesoricin2_b4283/pdb/model_1_ptm_cluster6_r0_seed0.pdb,model_1_ptm,6,9
